"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"
""," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"," Congenital anomalies"
"Country"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"
"Afghanistan","3.2","1.1","4.3","3.3","1.2","4.5","3.3","1.3","4.5","3.2","1.3","4.5","3.2","1.3","4.5","3.2","1.3","4.5","3.2","1.4","4.6","3.2","1.5","4.6","3.2","1.5","4.7","3.2","1.5","4.7","3.2","1.5","4.7","3.2","1.6","4.8","3.2","1.6","4.9","3.2","1.6","4.9","3.1","1.7","4.8","3","1.7","4.7","3","1.7","4.7","2.9","1.7","4.6"
"Albania","1.6","0.8","2.4","1.6","0.9","2.5","1.5","1","2.5","1.5","1.1","2.6","1.5","1.2","2.7","1.5","1.3","2.8","1.5","1.4","3","1.6","1.5","3.1","1.6","1.7","3.3","1.7","1.7","3.4","1.8","1.9","3.7","1.9","2","3.9","1.9","2.2","4.1","2","2.3","4.3","2.1","2.5","4.5","2.1","2.6","4.7","2.1","2.8","4.9","2.1","3","5.1"
"Algeria","2.8","1.1","3.9","2.8","1.1","3.9","2.9","1.1","4","2.9","1.1","4","3","1","4","3","1","4","3","1","4","3.1","1","4.1","3.1","1","4.1","3.1","1","4.1","3.1","1","4.2","3.1","1.1","4.2","3.1","1.1","4.2","3.1","1.2","4.3","3.1","1.2","4.3","3.1","1.3","4.4","3","1.3","4.4","3","1.4","4.4"
"Andorra","0","0.6","0.6","0","0.5","0.5","0","0.3","0.3","0","0.2","0.2","0","0.9","0.9","0","1.2","1.2","0","1.4","1.4","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","1.3","1.3","0","1.3","1.3","0","0.9","0.9"
"Angola","2.4","3","5.4","2.5","3.1","5.6","2.4","3.2","5.6","2.3","3.3","5.6","2.3","3.3","5.5","2.2","3.4","5.6","2.2","3.5","5.7","2.1","3.7","5.9","2.1","3.9","6","2.2","4","6.1","2.2","4","6.2","2.3","4","6.3","2.5","4","6.5","2.6","4","6.6","2.8","4.1","6.9","3","4.1","7.1","3.2","4","7.3","3.5","4.1","7.5"
"Antigua and Barbuda","1.5","0.5","1.9","1.7","1.1","2.8","1.8","0.9","2.8","1.7","1.3","3","1.5","0.8","2.3","1.2","0.8","2","0.7","0.8","1.5","0.3","0.8","1.1","0.5","0.6","1.2","1","0.7","1.7","1","0.7","1.7","1.4","1","2.4","1.2","0.6","1.8","3.8","1.5","5.3","2.9","1.4","4.3","3","1.9","4.9","1.2","0.9","2.1","1.8","1.3","3"
