"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"
""," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"," Injuries"
"Country"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"
"Afghanistan","0.4","3.5","3.9","0.4","3.6","4.1","0.5","3.7","4.2","0.5","3.8","4.2","0.5","3.7","4.2","0.5","3.9","4.4","0.5","4","4.6","0.6","4.1","4.7","0.6","4.1","4.8","0.7","4.1","4.8","0.7","4.1","4.8","0.8","4.1","4.9","0.8","4.2","5","0.8","4.3","5.1","0.8","4.3","5.1","0.7","4.3","5","0.7","4.3","5","0.7","4.3","5"
"Albania","0.1","0.5","0.6","0.1","0.6","0.7","0.1","0.7","0.8","0.1","0.8","0.8","0.1","0.9","1","0.1","1","1.1","0.1","1.1","1.1","0.1","1.1","1.2","0.1","1.2","1.3","0.1","1.4","1.5","0.1","1.5","1.6","0.1","1.6","1.7","0.1","1.8","1.9","0.1","1.9","2","0.1","2","2.2","0.1","2.2","2.3","0.1","2.3","2.5","0.1","2.5","2.6"
"Algeria","0.2","1.3","1.5","0.2","1.3","1.5","0.2","1.3","1.5","0.2","1.3","1.5","0.2","1.3","1.5","0.2","1.3","1.5","0.2","1.3","1.5","0.2","1.3","1.5","0.2","1.3","1.5","0.2","1.3","1.5","0.2","1.3","1.5","0.2","1.4","1.6","0.2","1.4","1.6","0.2","1.5","1.7","0.2","1.6","1.8","0.2","1.7","2","0.2","1.9","2.1","0.2","1.9","2.2"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","0.3","4.6","5","0.3","4.8","5.2","0.3","5.1","5.4","0.3","5.2","5.5","0.3","5.2","5.5","0.3","5.4","5.7","0.3","5.6","6","0.3","5.9","6.2","0.4","6.1","6.4","0.4","6.2","6.6","0.4","6.3","6.7","0.4","6.3","6.7","0.4","6.3","6.7","0.4","6.4","6.8","0.4","6.5","6.9","0.4","6.5","7","0.4","6.5","6.9","0.4","6.6","7"
"Antigua and Barbuda","0","0.1","0.1","0","0.1","0.1","0","0.2","0.2","0","0.4","0.4","0","0.4","0.4","0","0.4","0.4","0","0.5","0.5","0","1","1","0","1.2","1.2","0","1.2","1.2","0","0.9","0.9","0","1","1","0","0.7","0.7","0","0.4","0.4","0","0.5","0.5","0","0.5","0.5","0","0.5","0.5","0","0.3","0.3"
