"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"
""," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"," Other noncommunicable diseases"
"Country"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"
"Afghanistan","0","4.1","4.2","0","4.2","4.2","0","4.3","4.3","0","4.3","4.3","0","4.2","4.3","0","4.3","4.3","0","4.5","4.5","0","4.6","4.6","0","4.6","4.7","0","4.6","4.7","0","4.6","4.6","0","4.6","4.7","0","4.7","4.7","0","4.7","4.7","0","4.7","4.7","0","4.6","4.6","0","4.6","4.6","0","4.5","4.5"
"Albania","0","0.6","0.6","0","0.6","0.6","0","0.7","0.7","0","0.8","0.8","0","0.9","0.9","0","0.9","0.9","0","1","1","0","1.1","1.1","0","1.1","1.2","0","1.3","1.3","0","1.4","1.4","0","1.5","1.5","0","1.7","1.7","0","1.8","1.8","0","1.9","1.9","0","2","2","0","2.1","2.1","0","2.2","2.2"
"Algeria","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2","0","2","2.1","0","2.1","2.1","0","2.2","2.2","0","2.3","2.3","0","2.4","2.5","0","2.6","2.6","0","2.8","2.8","0","3","3","0","3.1","3.1"
"Andorra","0","0.6","0.6","0","0.5","0.5","0","0.3","0.3","0","1.4","1.4","0","0.9","0.9","0","1.2","1.2","0","0.6","0.6","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","0.8","0.8","0","1.3","1.3","0","1.3","1.3","0","0.9","0.9"
"Angola","0","2.8","2.8","0","2.9","2.9","0","3.1","3.1","0","3.2","3.2","0","3.3","3.3","0","3.5","3.5","0","3.7","3.7","0","3.9","4","0","4.2","4.2","0","4.4","4.4","0","4.5","4.6","0","4.7","4.7","0","4.8","4.8","0","4.9","4.9","0","5.1","5.1","0","5.2","5.3","0","5.3","5.3","0","5.4","5.4"
"Antigua and Barbuda","0","2.5","2.5","0","2.1","2.1","0","2","2","0","1.6","1.6","0","2.2","2.2","0","2.1","2.1","0","2.3","2.3","0","1.5","1.5","0","2","2","0","1.9","1.9","0","2","2","0","1.7","1.7","0","1.5","1.5","0","1","1","0","1.3","1.3","0","1","1","0","2.6","2.6","0","2.8","2.8"
