"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"
""," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"," Sepsis and other infectious conditions of the newborn"
"Country"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"
"Afghanistan","5.7","0","5.7","5.8","0","5.8","6","0","6","6.1","0","6.1","6.1","0","6.1","6.3","0","6.3","6.5","0","6.5","7","0","7","7.4","0","7.4","7.7","0","7.7","8","0","8","8.2","0","8.2","8.1","0","8.1","7.5","0","7.5","6.5","0","6.5","5.7","0","5.7","5.1","0","5.1","4.9","0","4.9"
"Albania","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.4","0","0.4","0.4","0","0.4","0.4","0","0.4","0.4","0","0.4","0.5","0","0.5","0.5","0","0.5"
"Algeria","2.2","0","2.2","2.3","0","2.3","2.3","0","2.3","2.4","0","2.4","2.4","0","2.4","2.4","0","2.4","2.4","0","2.4","2.4","0","2.4","2.3","0","2.3","2.2","0","2.2","2.3","0","2.3","2.3","0","2.3","2.4","0","2.4","2.4","0","2.4","2.5","0","2.5","2.5","0","2.5","2.5","0","2.5","2.6","0","2.6"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","4.4","0","4.4","4.5","0","4.5","4.8","0","4.8","5","0","5","5.2","0","5.2","5.4","0","5.4","5.6","0","5.6","5.9","0","5.9","6.2","0","6.2","6.3","0","6.3","6.3","0","6.3","6.1","0","6.1","6","0","6","6","0","6","6.1","0","6.1","6.1","0","6.1","5.9","0","5.9","5.6","0","5.6"
"Antigua and Barbuda","0.1","0","0.1","0.3","0","0.3","0.2","0","0.2","0.2","0","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0.4","0","0.4","0.6","0","0.6","0.6","0","0.6","0.1","0","0.1","0.2","0","0.2","0.2","0","0.2","0.3","0","0.3","0.1","0","0.1","0.1","0","0.1","0","0","0"
