"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"
""," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"," HIV/AIDS"
"Country"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"
"Afghanistan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albania","0","0.1","0.1","0","0.1","0.1","0","0","0","0","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Algeria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","0","2.2","2.2","0","2","2.1","0","2.1","2.1","0","2.1","2.1","0","2.3","2.3","0","2.3","2.4","0","2.3","2.3","0","2.2","2.2","0","2.2","2.2","0","2.1","2.2","0","2.1","2.1","0","2.1","2.1","0","2","2.1","0","1.9","1.9","0","1.8","1.8","0","1.6","1.6","0","1.5","1.5","0","1.3","1.3"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.1","0.1","0","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0","0","0","0","0.1","0.1"
