"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"
""," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"," Measles"
"Country"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"
"Afghanistan","0","1.2","1.2","0","0.5","0.5","0","1.1","1.1","0","0.5","0.5","0","0.2","0.2","0","3.1","3.1","0","3.2","3.2","0","2.8","2.8","0","3.9","3.9","0","1.8","1.8","0","1.7","1.7","0","6.2","6.2","0","1.8","1.8","0","0.3","0.3","0","0.2","0.2","0","6.5","6.5","0","13.8","13.8","0","10.6","10.6"
"Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Algeria","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0","0","0","0.1","0.1","0","3.8","3.8","0","2.3","2.3","0","2.1","2.1","0","1.9","1.9"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","0","0.5","0.5","0","0.5","0.5","0","0.3","0.3","0","5.4","5.4","0","4","4","0","1.8","1.8","0","0.8","0.8","0","0.5","0.5","0","1.8","1.8","0","0.6","0.6","0","0.3","0.3","0","1.1","1.1","0","0.5","0.5","0","0","0","0","3","3","0","9","9","0","7.3","7.3","0","2.2","2.2"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Australia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
