"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"," Deaths per 1 000 live births"
""," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"," Meningitis/encephalitis"
"Country"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"," 0-27 days"," 1-59 months"," 0-4 years"
"Afghanistan","1.3","1.1","2.3","1.3","1.1","2.4","1.4","1.2","2.6","1.5","1.4","2.8","1.5","1.7","3.2","1.6","1.8","3.4","1.7","1.9","3.6","1.8","2.1","4","2","2.4","4.4","2.1","2.8","5","2.2","3.2","5.4","2.3","3.4","5.8","2.4","3.6","5.9","2.2","3.7","5.9","1.9","3.9","5.8","1.7","4","5.6","1.6","4.1","5.7","1.5","4.1","5.7"
"Albania","0.1","0.1","0.2","0.1","0.1","0.2","0.1","0.1","0.2","0.1","0.1","0.2","0.1","0.2","0.3","0.1","0.2","0.3","0.1","0.2","0.3","0.1","0.2","0.4","0.1","0.3","0.4","0.2","0.2","0.4","0.2","0.3","0.4","0.2","0.3","0.5","0.2","0.3","0.6","0.3","0.4","0.6","0.3","0.4","0.7","0.3","0.5","0.8","0.3","0.6","0.9","0.3","0.6","1"
"Algeria","0","0.2","0.2","0","0.2","0.2","0.1","0.2","0.2","0.1","0.2","0.2","0.1","0.2","0.2","0.1","0.2","0.2","0.1","0.2","0.2","0.1","0.2","0.3","0.1","0.2","0.3","0.1","0.3","0.3","0.1","0.3","0.4","0.1","0.4","0.4","0.1","0.4","0.5","0.1","0.4","0.5","0.1","0.5","0.6","0.1","0.5","0.6","0.1","0.6","0.6","0.1","0.6","0.7"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","0.3","1.2","1.5","0.3","1.3","1.6","0.4","1.4","1.8","0.4","1.6","2","0.4","1.9","2.4","0.5","2.2","2.6","0.5","2.4","2.9","0.6","2.5","3.1","0.6","2.8","3.4","0.6","3.1","3.7","0.6","3.5","4.1","0.6","4","4.7","0.6","4.6","5.2","0.7","5.1","5.7","0.7","5.4","6.1","0.7","5.8","6.5","0.7","9.3","10","0.7","9.6","10.3"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3","0.3","0","0.3","0.3","0","0.2","0.2","0","0.4","0.4","0","0.5","0.5","0","0.5","0.5","0","0.3","0.3"
